CALLE,ALT PLANO,DIRECCION,coord_X,coord_Y,COMUNA,BARRIO,L1,l1_sen,L2,l2_sen,L3,l3_sen,L4,l4_sen,L5,l5_sen,L6,l6_sen
HUMBERTO 1°,"2995",2995 HUMBERTO 1°,-58.406979,-34.623137,"3",SAN CRISTOBAL,"53",I,"126",I,,,,,,,,
HUMBERTO 1°,"3197",3197 HUMBERTO 1°,-58.410308,-34.623672,"3",SAN CRISTOBAL,"53",I,"126",I,,,,,,,,
PRES. LUIS SAENZ PEÑA,"1020",Pte. Luis Saenz PeÃ±a 1020,-58.38726,-34.620133,"1",CONSTITUCION,"168",I,,,,,,,,,,
PRES. LUIS SAENZ PEÑA,"1212","1212 SAENZ PEÑA, LUIS, PRES.",-58.38713,-34.622685,"1",CONSTITUCION,"53",I,,,,,,,,,,
REPUBLICA BOLIVARIANA DE VENEZUELA,"1575",1575 REPUBLICA BOLIVARIANA DE VENEZUELA,-58.3886,-34.614594,"1",MONSERRAT,"2",I,"98",V,,,,,,,,
BILLINGHURST,"587",Billinghurst 587,-58.415467,-34.602987,"5",ALMAGRO,"99",I,,,,,,,,,,
DEAN FUNES,"2097",DEAN FUNES 2097,-58.404146,-34.635401,"4",PARQUE PATRICIOS,"101",V,"188",I,,,,,,,,
CASTAÑARES AV.,"5716",5716 CASTA?ARES AV.,-58.480555,-34.673556,"8",VILLA LUGANO,"50",V,,,,,,,,,,
CASTAÑARES AV.,"5899",5899 CASTA?ARES AV.,-58.482298,-34.674848,"8",VILLA LUGANO,"50",I,,,,,,,,,,
JUAN BAUTISTA ALBERDI AV.,"5152","ALBERDI, JUAN BAUTISTA AV. 5152",-58.496943,-34.646597,"9",MATADEROS,"63",V,,,,,,,,,,
DR. JUAN FELIPE ARANGUREN,"1087",Dr. Juan F. Aranguren 1087,-58.448273,-34.616888,"6",CABALLITO,"84",I,"181",I,,,,,,,,
DR. JUAN FELIPE ARANGUREN,"1093",Dr. Juan F. Aranguren 1093,-58.448393,-34.616928,"6",CABALLITO,"92",V,"172",I,,,,,,,,
DR. JUAN FELIPE ARANGUREN,"1797",Dr. Juan F. Aranguren 1797,-58.456518,-34.619929,"6",CABALLITO,"181",I,,,,,,,,,,
MONTIEL,"206",Montiel 206,-58.526207,-34.641756,"9",LINIERS,"4",V,,,,,,,,,,
NEUQUEN,"2312",Neuquen 2312,-58.46603,-34.618588,"7",FLORES,"181",V,"124",V,,,,,,,,
DON PEDRO DE MENDOZA AV.,"1589","DON PEDRO DE MENDOZA, AV. 1589",-58.35708,-34.63776,"4",LA BOCA,"20",V,"46",I,,,,,,,,
